area,area_code,proc_code,proc,comm_code,source_code,source,item_code,item,tcf
Bahamas,12,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Bahamas,12,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Bahamas,12,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Bahamas,12,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Bahamas,12,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Bahrain,13,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Bahrain,13,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Bahrain,13,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.11
Bahrain,13,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Bahrain,13,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Bahrain,13,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Bahrain,13,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Bahrain,13,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Bahrain,13,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Barbados,14,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Barbados,14,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Barbados,14,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Barbados,14,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.1
Barbados,14,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Barbados,14,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Barbados,14,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Barbados,14,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Barbados,14,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Belgium-Luxembourg,15,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Belgium-Luxembourg,15,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Belgium-Luxembourg,15,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Belgium-Luxembourg,15,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Belgium-Luxembourg,15,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Belgium-Luxembourg,15,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Belgium-Luxembourg,15,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Belgium-Luxembourg,15,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.16
Belgium-Luxembourg,15,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.74
Bangladesh,16,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Bangladesh,16,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Bangladesh,16,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.1
Bangladesh,16,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Bangladesh,16,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.091
Bangladesh,16,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Bangladesh,16,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Bangladesh,16,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Bangladesh,16,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Bermuda,17,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Bermuda,17,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.66
Bermuda,17,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Bermuda,17,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Bermuda,17,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.11
Bermuda,17,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Bermuda,17,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Bermuda,17,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Bermuda,17,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Bhutan,18,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Bhutan,18,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Bhutan,18,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Bhutan,18,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Bhutan,18,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Bhutan,18,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Bhutan,18,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.11
Bhutan,18,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Bhutan,18,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Bolivia (Plurinational State of),19,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.093
Bolivia (Plurinational State of),19,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Bolivia (Plurinational State of),19,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Bolivia (Plurinational State of),19,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Bolivia (Plurinational State of),19,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Bolivia (Plurinational State of),19,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Bolivia (Plurinational State of),19,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Bolivia (Plurinational State of),19,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.5
Bolivia (Plurinational State of),19,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Botswana,20,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
