iso3c,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029,c030,c031,c032,c033,c034,c035,c036,c037,c038,c039,c040,c041,c042,c043,c044,c045,c046,c047,c048,c049,c050,c051,c052,c053,c054,c055,c056,c057,c058,c059,c060,c061,c062,c063,c064,c065,c066,c067,c068,c069,c070,c071,c072,c073,c074,c075,c076,c077,c078,c079,c080,c081,c082,c083,c084,c085,c086,c087,c088,c089,c090,c091,c092,c093,c094,c095,c096,c097,c098,c099,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125
MNG,0.022162086,0.036603552,0.014230491,0.018119209,0.016158965,0.011318188,0.002564514,0.004066735,0.006481459,0.035977104,0.005848546,0.030455964,0.116666264,0,0,0.042617372,0.038199873,0.045658034,0.038449406,0.014842491,0.033258517,0.021641613,0.019562655,0.026645201,0,0.003020642,0.027306259,0.016072455,0.012650544,0,0.045717457,0.038665116,0.040533979,0.048295092,0.042205178,0.049442486,0.051471065,0,0,0.045115109,0.034487188,0,0.050882246,0.019604698,0.020191787,0,0.029200854,0.027222161,0.022705682,0,0,0,0,0.042129618,0,0.029166495,0,0,0.042078717,0.01138493,0.04350754,0.000611685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,4.364207117,4.364207117,4.364206245,4.364207117,4.364205415,4.364206245,4.364210172,4.364205415,4.364206245,27.61550059,0,23.37753514,89.55124734,0,25.31240224,54.98901291,15.27472164,15.27472164,15.27472687,0,3.054945942,3.054945113,9.164835776,3.054944677,36.6593095,0,3.054945288,0,3.054945506,0,25.74880763,25.74882596,25.74883426,48.87911919,48.8791061,48.8791061,48.87912356,29.82343175,0,20.07534899,0,27.41181259,24.43955567,15.04826077,0,0,0,0,0,0,0,0,0,0,0,22.38774877,0,0,32.29897518,0,33.39571734,0.411867724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ,0.109524947,0.222453787,0.192225324,0.088154103,0,0.26086242,0.010744397,0.037610197,0.245507334,0.298251329,0.015382236,0.010358957,1.864613153,0.028041911,0.359218856,0,0.097510936,0.023502773,0.045598833,0.237219505,0.081835841,0.040254307,0.211034745,0,0.114630135,0.047819128,0.42779738,0.062153762,0,0,0.453817749,0.166844878,0.197686199,0.18646104,0.186461158,0.186461276,0.186461328,0.151371837,0.031076854,0.186460796,0.152831332,0,0.186461237,0.186461119,0.072775058,0.279044726,0.086506227,0,0.369692555,0,0,0,0.238256344,0.673334595,0,0.466152306,0,0,0.305547318,0,0,0.021579976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDA,0.182680747,0.174568232,0,0,0.133197373,0.093295134,0.021139134,0.033521853,0.053426273,0.296557306,0,0,0,0,0,0,0.314879323,0.376356384,0,0.122345852,0,0,0.161253815,0.219634789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371881082,0,0,0.419419369,0.161600263,0,0,0,0.22439064,0,0,0,0,0,0,0,0,0,0,0,0,0.358630006,0.005042071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAM,0.079558545,0.060520588,0,0.05343453,0,0,0.051369955,0.037153314,0,0.178306306,0.076587162,0.007812927,0.351581708,0,0.091727904,0,0.030451252,0,0.031303253,0,0,0.02914296,0.023129541,0,0.113291964,0,0.066349091,0.082258252,0,0,0.121318766,0,0.105671187,0,0,0,0.082476641,0.054225683,0,0,0.138836836,0.108990284,0.045111744,0.071570148,0.050793125,0.059840518,0,0,0,0,0,0,0,0.126960542,0,0.087895245,0,0,0.048455804,0,0,0.001087523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,2.012868658,4.088293505,3.532752164,1.620113754,3.274572374,4.794178361,0.19746249,0.6912072,4.511979156,5.481317466,0.282697558,0.19037888,34.26820212,0,6.601789999,0,1.792074539,0.431938392,0.83802387,4.359664677,1.503994216,0.73980142,3.878437615,7.0698372,2.106696483,0.878829028,7.862137975,1.14227336,3.533309037,0,8.340345485,3.066306191,3.633115825,3.426817855,3.426817026,3.426818248,3.42682139,2.781938498,0,3.426812007,2.808764884,0,0,3.426815979,1.337475073,0,1.589826771,7.995924913,6.794279008,0,0,0,4.378720723,12.37467138,0,8.567031545,0,0,5.615405534,0.571136702,12.77940529,0.396600743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLD,0,4.122162891,4.122164549,13.7405437,3.206126513,3.206127342,0,0,0,31.14522644,0,0,0,0,0,22.90091402,24.73298398,24.73298572,0,0,24.66881399,0,0,11.45045373,0,0,0,0,0,4.580182105,35.72541946,35.72540942,35.72541291,0,0,0,0,0,0,16.94667322,0,0,16.94667147,0,0,0,0,19.2367946,0,0,0,0,0,0,0,0,0,0,0,0,4.580181668,10.48815358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKD,8.797697762,6.692449846,5.264103917,5.908866138,4.295646783,7.062888947,5.68056183,4.10846897,4.319831078,19.71736446,0,0,0,0,0,16.0171631,3.367342621,4.127595193,3.461559166,4.946184989,0,3.222669781,2.557696132,9.055261893,12.52798466,0,7.336975528,0,3.493483818,0,13.41560276,12.90144553,11.68526377,0,0,0,0,0,0,4.833910099,0,0,4.988524776,7.914328213,0,0,0,9.071643816,0,0,0,0,0,0,0,0,0,0,5.358311428,0,0,0.12025966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
