iso3c,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029,c030,c031,c032,c033,c034,c035,c036,c037,c038,c039,c040,c041,c042,c043,c044,c045,c046,c047,c048,c049,c050,c051,c052,c053,c054,c055,c056,c057,c058,c059,c060,c061,c062,c063,c064,c065,c066,c067,c068,c069,c070,c071,c072,c073,c074,c075,c076,c077,c078,c079,c080,c081,c082,c083,c084,c085,c086,c087,c088,c089,c090,c091,c092,c093,c094,c095,c096,c097,c098,c099,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125
ESP,81.169098,95.76046,88.502243,221.23045,87.443741,79.725868,36.024036,60.503597,,163.08107,,65.77906,130.79799,,122.50065,193.72141,8.9691601,8.969101,28.538729,9.4063196,17.009125,17.683559,13.834203,100.80949,33.010048,,,,64.518295,15.496538,204.29755,204.29732,204.29605,56.804726,56.804707,56.804665,56.804688,56.804672,,56.8046,,56.804688,54.337955,56.804672,,,,94.057091,,,,,,,,,,,72.369415,,,1.2679965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUR,92.500626,,,78.572586,,,,,,,33.441578,13.101413,291.50583,,95.780785,,,,42.845238,,10.818715,26.840641,,,,31.276012,,154.72792,,,150.2121,,115.65142,91.904457,98.757309,131.44287,197.80299,91.784821,55.647568,,232.35265,,,132.38098,161.03659,51.84737,,,,,,,,,,,,,,,,1.8707268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJK,13.289015,9.7082262,2.6004388,7.5211945,15.691017,16.608135,0.84888154,1.8455927,3.5430546,16.325766,,,,,,35.266186,1.8980349,0.44722253,1.497846,3.5472126,1.9325752,1.4955796,11.307234,27.083124,6.0938306,,26.387306,,9.8819513,,10.874658,5.4568009,6.1935773,10.541295,10.541297,10.541301,10.54131,,,10.541278,,,10.541306,10.541292,,,,,21.015423,,,,26.938929,,,,,,7.353847,,25.270466,1.6489161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWZ,9.5746069,11.007494,,8.9319239,,,,1.3696289,,12.288813,,11.907397,18.062601,,10.482483,,4.031033,,3.5800834,,,3.5972164,,,9.735343,,,,,,15.338548,,12.994121,16.795031,,14.618489,15.12321,24.245193,,,7.8558879,13.750821,,3.3874762,,,,,,,,,,,,,,,9.3262577,,,0.12523334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,,201.55452,131.01044,,114.21422,114.21424,,,,139.40855,,,,,,167.9621,0,0,,,,,,184.75836,,,,,,,167.9621,167.9621,167.96213,,,,,,,116.84722,,,,,,,,,,,,,,,,,,,,,,54.156395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHE,111.00001,100.60283,123.00002,160.00002,110.99998,111.00001,67.968872,114.15638,46.081387,160.99998,,124.10926,,,,142.99998,23.000002,23.000004,53.845741,17.747458,36.311611,,41.000004,172,,,124.93998,,118.76709,0,163.99997,164,164.00002,71.000008,71.000008,70.999992,71,71,,70.999992,,,71,71,,,,177.46307,,,,,,,,,,,157.97969,,0,15.189646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYR,125.77896,39.991665,39.991657,46.656929,,81.083,15.174767,17.992437,,46.656937,,,,,,79.983337,52.954582,63.777161,47.03056,16.148918,58.24287,47.25563,99.758568,119.1442,66.652786,,124.7508,,46.65694,,66.652771,155.71254,170.70018,220.63165,160.61284,192.03908,198.66945,318.50241,,185.97491,,180.64075,46.656925,44.500343,,,177.58774,,,,,,,,,,,,122.51646,,115.04548,1.6451555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,44.785507,51.487904,15.971687,41.779327,37.824066,,5.4032054,6.4064789,5.6958618,57.481319,,,,,,47.687191,18.85528,22.708832,16.745945,5.7500696,,16.826092,35.520535,42.4231,45.537361,,44.419399,,10.367267,,71.74649,55.443817,60.780399,,57.188671,68.378426,70.739273,,,66.219193,,,64.409172,15.845021,,,,,33.016075,,,,12.603447,,,,,,43.623856,,,0.58578336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TZA,0.5627197,2.3321152,0.62467837,0.56272,,3.9896166,0.14067985,0.14067993,0.85111493,3.921788,0.070339903,0.03517,12.520491,0.34016067,3.1608601,,0.070339933,0.070339978,0.070339933,0.85211313,0.46424454,0.35926911,2.7162282,,0.63305992,0.51672167,6.3387713,0.42204013,,,0.70339978,0.70339876,0.7033999,2.532238,2.5322354,2.5322378,2.5322394,2.8963158,0.28135976,2.5322325,2.6844869,2.5322428,2.5322371,2.5322344,0.14067987,2.4409549,1.3364592,,5.0483375,,,,,,,0.21101938,,,2.0046883,,,0.39610377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THA,55.800018,164.44641,51.011776,44.800003,,,17.257223,20.461571,18.191929,183.58867,16.500002,177.89058,269.84622,,66.500008,,60.221561,72.529404,53.484592,18.365068,7.2000012,10.500009,113.44855,,145.44104,6.5999994,141.8705,102.90003,,,100.00002,99.999947,99.999969,250.90942,182.65404,218.39293,225.93303,362.21097,61.5345,,117.36288,,205.71553,50.607201,37.5,56.999992,60,,55.999958,,,,40.253963,151.59859,,4.5479655,,,63.750019,22.499994,130.83333,1.8709236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,3.508848,,,2.4561934,,,0.70176965,1.4035389,4.2457113,19.563477,0.35088477,0.17544238,62.457378,1.6968601,15.767667,,2.2744522,,1.7948987,4.2506952,2.3158419,0.70176953,,,11.228312,2.5776234,31.620422,2.1053088,,,21.053087,,21.053087,12.631843,,,,14.448026,,,13.391332,12.631873,,12.631839,6.3159251,12.176473,,,25.183191,,,,,,,,,,2.1053088,,,1.975929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
